а̀-ля́	а̀-л'а́
поко́й	пако́j
поко́йник	пако́jн'ик
поко́йный	пако́jныj
поко́нчить	пако́н'ч'ит'
поко́рно	пако́рна
поко́рность	пако́рнас'т'
поко́рный	пако́рныj
поколе́ние	пакал'э́н'ии
поколеба́ть	пакал'иба́т'
покопа́ться	пакапа́ца
покоре́ние	пакар'э́н'ии
покори́тель	пакар'и́т'ил'
покори́ть	пакар'и́т'
покори́ться	пакар'и́ца
покорми́ть	пакарм'и́т'
покоря́ть	пакар'а́т'
покра́сить	пакра́с'ит'
покра́ска	пакра́ска
покрасне́ние	пакрас'н'э́н'ии
покрасова́ться	пакрасава́ца
покритикова́ть	пакр'ит'икава́т'
покро́в	пакро́ф
покрови́тель	пакрав'и́т'ил'
покрови́тельство	пакрав'и́т'ил'ства
покрути́ть	пакрут'и́т'
покрути́ться	пакрут'и́ца
покры́тие	пакры́т'ии
покры́ть	пакры́т'
покры́шка	пакры́шка
покрыва́ло	пакрыва́ла
покрыва́ть	пакрыва́т'
покрыва́ться	пакрыва́ца
поку́да	паку́да
поку́пка	паку́пка
поку́шать	паку́шат'
покупа́тель	пакупа́т'ил'
покупа́тельница	пакупа́т'ил'н'ица
покупа́тельский	пакупа́т'ил'ск'иj
покупа́ть	пакупа́т'
покупа́ться	пакупа́ца
покупно́й	пакупно́j
покури́ть	пакур'и́т'
покуси́ться	пакус'и́ца
покуше́ние	пакушэ́н'ии
пола́дить	пала́д'ит'
пола́зить	пала́з'ит'
пола́комиться	пала́кам'ица
полага́ть	палага́т'
полага́ться	палага́ца
полбеды́	палб'иды́
поле́	пал'э́
поле́зно	пал'э́зна
поле́зность	пал'э́знас'т'
поле́зный	пал'э́зныj
поле́мика	пал'э́м'ика
поле́но	пал'э́на
полево́й	пал'иво́j
полежа́ть	пал'ижа́т'
полени́ться	пал'ин'и́ца
полета́ть	пал'ита́т'
полете́ть	пал'ит'э́т'
ползко́м	палско́м
ползти́	палс'т'и́
ползуно́к	палзуно́к
полѝтбюро́	пал'ѝдб'уро́
поли́п	пал'и́п
поли́тик	пал'и́т'ик
поли́тика	пал'и́т'ика
поли́ть	пал'и́т'
поли́ция	пал'и́цыи
полива́ть	пал'ива́т'
полигло́т	пал'игло́т
полиго́н	пал'иго́н
полигра́ф	пал'игра́ф
полиграфи́я	пал'играф'и́и
поликли́ника	пал'икл'и́н'ика
полиме́р	пал'им'э́р
полиме́рный	пал'им'э́рныj
полимериза́ция	пал'им'ир'иза́цыи
полиморфи́зм	пал'имарф'и́зм
полиро́вка	пал'иро́фка
полирова́ть	пал'ирава́т'
полиста́ть	пал'иста́т'
политехни́ческий	пал'ит'ихн'и́ч'иск'иj
полити́ческий	пал'ит'и́ч'иск'иj
полифо́ния	пал'ифо́н'ии
полифони́я	пал'ифан'и́и
полице́йский	пал'ицэ́jск'иj
полиэтиле́новый	пал'иыт'ил'э́навыj
полка́	палка́
полко́вник	палко́вн'ик
полково́дец	палкаво́д'иц
полно́	пално́
полнове́сный	палнав'э́сныj
полнолу́ние	палналу́н'ии
полнометра́жный	палнам'итра́жныj
полномо́чный	палнамо́ч'ныj
полнопра́вный	палнапра́вныj
полнота́	палната́
полноце́нно	палнацэ́нна
полноце́нный	палнацэ́нныj
полны̀м-полно́	палны̀м-пално́
поло́го	пало́ва
поло́жим	пало́жым
поло́мка	пало́мка
поло́ний	пало́н'иj
поло́ска	пало́ска
поло́тнище	пало́т'н'иш':и
поло́ть	пало́т'
полови́на	палав'и́на
полови́нка	палав'и́нка
полови́нный	палав'и́нныj
полово́дье	палаво́д'jи
положе́ние	палажэ́н'ии
положи́тельно	палажы́т'ил'на
положи́тельный	палажы́т'ил'ныj
положи́ть	палажы́т'
положи́ться	палажы́ца
полома́ть	палама́т'
полоса́	паласа́
полоса́тый	паласа́тыj
полоте́нце	палат'э́нцы
полотно́	палатно́
полпре́д	палпр'э́т
полти́нник	палт'и́н'н'ик
полтора́	палтара́
полу́ночный	палу́нач'ныj
полуавтомати́ческий	палуафтамат'и́ч'иск'иj
полувеково́й	палув'икаво́j
полуго́дие	палуго́д'ии
полугодова́лый	палугадава́лыj
полугодово́й	палугадаво́j
полузащи́тник	палузаш':и́т'н'ик
полукро́вка	палукро́фка
полукру́глый	палукру́глыj
полуме́сяц	палум'э́с'иц
полумра́к	палумра́к
полуно́чный	палуно́ч'ныj
полуо́стров	палуо́страф
полуо́сь	палуо́с'
полуофициа́льно	палуаф'ицыа́л'на
полупроводни́к	палуправад'н'и́к
полупроводнико́вый	палуправад'н'ико́выj
полупрозра́чный	палупразра́ч'ныj
полупусто́й	палупусто́j
полусфе́ра	палусф'э́ра
полуте́нь	палут'э́н'
полуфабрика́т	палуфабр'ика́т
полуфина́л	палуф'ина́л
получа́тель	палуч'а́т'ил'
получа́ть	палуч'а́т'
получа́ться	палуч'а́ца
получасово́й	палуч'исаво́j
получе́ние	палуч'э́н'ии
получи́ть	палуч'и́т'
получи́ться	палуч'и́ца
полуша́рие	палуша́р'ии
полы́нь	палы́н'
польсти́ть	пал'с'т'и́т'
полюби́ть	пал'уб'и́т'
полюбо́вно	пал'убо́вна
полюбова́ться	пал'убава́ца
полюбопы́тствовать	пал'убапы́цтвават'
поля́к	пал'а́к
поля́на	пал'а́на
поля́нка	пал'а́нка
поля́рник	пал'а́рн'ик
поля́рность	пал'а́рнас'т'
поля́рный	пал'а́рныj
поляриза́ция	пал'ир'иза́цыи
поляризацио́нный	пал'ир'изацыо́нныj
полё́т	пал'о́т
пома́да	пама́да
помале́ньку	памал'э́н'ку
помаха́ть	памаха́т'
помѐхоусто́йчивость	пам'э̀хаусто́jч'ивас'т'
поме́рить	пам'э́р'ит'
поме́риться	пам'э́р'ица
поме́стье	пам'э́с'т'jи
поме́сячно	пам'э́с'ич'на
поме́та	пам'э́та
поме́тить	пам'э́т'ит'
поме́тка	пам'э́тка
поме́ха	пам'э́ха
поме́шанный	пам'э́шаныj
поме́щик	пам'э́ш':ик
поменя́ть	пам'ин'а́т'
поменя́ться	пам'ин'а́ца
помере́ть	пам'ир'э́т'
